Designator,Val,Package,Mid X (mm),Mid Y (mm),Rotation,Layer
D105,SK9822-2020,LED_SK9822_2020Metric,5.0,278.00,0.0,Top
C105,100nF,C_0402_1005Metric,2.2,278.00,90.0,Top
D106,SK9822-2020,LED_SK9822_2020Metric,5.0,280.50,0.0,Top
C106,100nF,C_0402_1005Metric,2.2,280.50,90.0,Top
D107,SK9822-2020,LED_SK9822_2020Metric,5.0,283.00,0.0,Top
C107,100nF,C_0402_1005Metric,2.2,283.00,90.0,Top
D108,SK9822-2020,LED_SK9822_2020Metric,5.0,285.50,0.0,Top
C108,100nF,C_0402_1005Metric,2.2,285.50,90.0,Top
D109,SK9822-2020,LED_SK9822_2020Metric,5.0,288.00,0.0,Top
C109,100nF,C_0402_1005Metric,2.2,288.00,90.0,Top
D110,SK9822-2020,LED_SK9822_2020Metric,5.0,290.50,0.0,Top
C110,100nF,C_0402_1005Metric,2.2,290.50,90.0,Top
D111,SK9822-2020,LED_SK9822_2020Metric,5.0,293.00,0.0,Top
C111,100nF,C_0402_1005Metric,2.2,293.00,90.0,Top
D112,SK9822-2020,LED_SK9822_2020Metric,5.0,295.50,0.0,Top
C112,100nF,C_0402_1005Metric,2.2,295.50,90.0,Top
D113,SK9822-2020,LED_SK9822_2020Metric,5.0,298.00,0.0,Top
C113,100nF,C_0402_1005Metric,2.2,298.00,90.0,Top
D114,SK9822-2020,LED_SK9822_2020Metric,5.0,300.50,0.0,Top
C114,100nF,C_0402_1005Metric,2.2,300.50,90.0,Top
D115,SK9822-2020,LED_SK9822_2020Metric,5.0,303.00,0.0,Top
C115,100nF,C_0402_1005Metric,2.2,303.00,90.0,Top
D116,SK9822-2020,LED_SK9822_2020Metric,5.0,305.50,0.0,Top
C116,100nF,C_0402_1005Metric,2.2,305.50,90.0,Top
D117,SK9822-2020,LED_SK9822_2020Metric,5.0,308.00,0.0,Top
C117,100nF,C_0402_1005Metric,2.2,308.00,90.0,Top
D118,SK9822-2020,LED_SK9822_2020Metric,5.0,310.50,0.0,Top
C118,100nF,C_0402_1005Metric,2.2,310.50,90.0,Top
D119,SK9822-2020,LED_SK9822_2020Metric,5.0,313.00,0.0,Top
C119,100nF,C_0402_1005Metric,2.2,313.00,90.0,Top
D120,SK9822-2020,LED_SK9822_2020Metric,5.0,315.50,0.0,Top
C120,100nF,C_0402_1005Metric,2.2,315.50,90.0,Top
D121,SK9822-2020,LED_SK9822_2020Metric,5.0,318.00,0.0,Top
C121,100nF,C_0402_1005Metric,2.2,318.00,90.0,Top
D122,SK9822-2020,LED_SK9822_2020Metric,5.0,320.50,0.0,Top
C122,100nF,C_0402_1005Metric,2.2,320.50,90.0,Top
D123,SK9822-2020,LED_SK9822_2020Metric,5.0,323.00,0.0,Top
C123,100nF,C_0402_1005Metric,2.2,323.00,90.0,Top
D124,SK9822-2020,LED_SK9822_2020Metric,5.0,325.50,0.0,Top
C124,100nF,C_0402_1005Metric,2.2,325.50,90.0,Top
D125,SK9822-2020,LED_SK9822_2020Metric,5.0,328.00,0.0,Top
C125,100nF,C_0402_1005Metric,2.2,328.00,90.0,Top
D126,SK9822-2020,LED_SK9822_2020Metric,5.0,330.50,0.0,Top
C126,100nF,C_0402_1005Metric,2.2,330.50,90.0,Top
D127,SK9822-2020,LED_SK9822_2020Metric,5.0,333.00,0.0,Top
C127,100nF,C_0402_1005Metric,2.2,333.00,90.0,Top
D128,SK9822-2020,LED_SK9822_2020Metric,5.0,335.50,0.0,Top
C128,100nF,C_0402_1005Metric,2.2,335.50,90.0,Top
C129,10uF,C_0603_1608Metric,8.0,15.0,0.0,Top
C130,10uF,C_0603_1608Metric,8.0,178.00,0.0,Top
C131,10uF,C_0603_1608Metric,8.0,335.50,0.0,Top
